Feature,Baseline Accuracy,Permuted Accuracy,Accuracy Difference
HomeTeamOverallForm_MA_1,0.5444839857651246,0.5359430604982206,0.008540925266903976
HomeTeamHomeForm_MA_1,0.5444839857651246,0.5444839857651246,0.0
HomeTeamAwayForm_MA_1,0.5444839857651246,0.5402135231316726,0.004270462633451988
HomeTeamGoalsScored_MA_1,0.5444839857651246,0.5366548042704626,0.007829181494661941
HomeTeamGoalsConceded_MA_1,0.5444839857651246,0.5444839857651246,0.0
HomeTeamGoalDifference_MA_1,0.5444839857651246,0.5402135231316726,0.004270462633451988
HomeTeamHomeGoalsScored_MA_1,0.5444839857651246,0.5409252669039146,0.003558718861209953
HomeTeamAwayGoalsScored_MA_1,0.5444839857651246,0.5387900355871886,0.005693950177935947
HomeTeamHomeGoalsConceded_MA_1,0.5444839857651246,0.5437722419928825,0.000711743772242035
HomeTeamAwayGoalsConceded_MA_1,0.5444839857651246,0.5444839857651246,0.0
HomeTeamHomeGoalDifference_MA_1,0.5444839857651246,0.5423487544483987,0.002135231316725883
HomeTeamAwayGoalDifference_MA_1,0.5444839857651246,0.5387900355871886,0.005693950177935947
HomeTeamOverallForm_EMA_1,0.5444839857651246,0.5402135231316726,0.004270462633451988
HomeTeamHomeForm_EMA_1,0.5444839857651246,0.5459074733096086,-0.00142348754448407
HomeTeamAwayForm_EMA_1,0.5444839857651246,0.5402135231316726,0.004270462633451988
HomeTeamGoalsScored_EMA_1,0.5444839857651246,0.5423487544483987,0.002135231316725883
HomeTeamGoalsConceded_EMA_1,0.5444839857651246,0.5380782918149466,0.006405693950177982
HomeTeamGoalDifference_EMA_1,0.5444839857651246,0.5416370106761567,0.002846975088967918
HomeTeamHomeGoalsScored_EMA_1,0.5444839857651246,0.5437722419928827,0.000711743772241924
HomeTeamAwayGoalsScored_EMA_1,0.5444839857651246,0.5444839857651246,0.0
HomeTeamHomeGoalsConceded_EMA_1,0.5444839857651246,0.5380782918149467,0.006405693950177871
HomeTeamAwayGoalsConceded_EMA_1,0.5444839857651246,0.5437722419928825,0.000711743772242035
HomeTeamHomeGoalDifference_EMA_1,0.5444839857651246,0.5459074733096086,-0.00142348754448407
HomeTeamAwayGoalDifference_EMA_1,0.5444839857651246,0.5473309608540925,-0.002846975088967918
AwayTeamOverallForm_MA_1,0.5444839857651246,0.5423487544483987,0.002135231316725883
AwayTeamHomeForm_MA_1,0.5444839857651246,0.5359430604982206,0.008540925266903976
AwayTeamAwayForm_MA_1,0.5444839857651246,0.5409252669039146,0.003558718861209953
AwayTeamGoalsScored_MA_1,0.5444839857651246,0.5437722419928825,0.000711743772242035
AwayTeamGoalsConceded_MA_1,0.5444839857651246,0.5380782918149466,0.006405693950177982
AwayTeamGoalDifference_MA_1,0.5444839857651246,0.5423487544483987,0.002135231316725883
AwayTeamHomeGoalsScored_MA_1,0.5444839857651246,0.5395017793594306,0.004982206405694023
AwayTeamAwayGoalsScored_MA_1,0.5444839857651246,0.5430604982206406,0.001423487544483959
AwayTeamHomeGoalsConceded_MA_1,0.5444839857651246,0.5352313167259786,0.009252669039146011
AwayTeamAwayGoalsConceded_MA_1,0.5444839857651246,0.5451957295373665,-0.000711743772241924
AwayTeamHomeGoalDifference_MA_1,0.5444839857651246,0.5387900355871886,0.005693950177935947
AwayTeamAwayGoalDifference_MA_1,0.5444839857651246,0.5416370106761567,0.002846975088967918
AwayTeamOverallForm_EMA_1,0.5444839857651246,0.5402135231316726,0.004270462633451988
AwayTeamHomeForm_EMA_1,0.5444839857651246,0.5395017793594306,0.004982206405694023
AwayTeamAwayForm_EMA_1,0.5444839857651246,0.5387900355871886,0.005693950177935947
AwayTeamGoalsScored_EMA_1,0.5444839857651246,0.5444839857651246,0.0
AwayTeamGoalsConceded_EMA_1,0.5444839857651246,0.5402135231316726,0.004270462633451988
AwayTeamGoalDifference_EMA_1,0.5444839857651246,0.5409252669039146,0.003558718861209953
AwayTeamHomeGoalsScored_EMA_1,0.5444839857651246,0.5480427046263345,-0.003558718861209953
AwayTeamAwayGoalsScored_EMA_1,0.5444839857651246,0.5402135231316726,0.004270462633451988
